unnamed: 0,time,location,source,condition,action,priority,description,value,operator,server,field time,source_sheet
,2025-10-14 11:42:19.601,RCW_Distrib_250,250PIC4091,CHANGE,,,pida.op,15,Froth Operator,FTESV01,2025-10-14 11:42:19.601,Sheet2
,2025-10-14 11:48:55.501,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,10,Froth Operator,FTESV01,2025-10-14 11:48:55.501,Sheet2
,2025-10-14 11:49:08.401,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,8,Froth Operator,FTESV01,2025-10-14 11:49:08.401,Sheet2
,2025-10-14 11:49:10.700,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,6,Froth Operator,FTESV01,2025-10-14 11:49:10.700,Sheet2
,2025-10-14 11:49:12.501,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,4,Froth Operator,FTESV01,2025-10-14 11:49:12.501,Sheet2
,2025-10-14 11:49:13.101,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,2,Froth Operator,FTESV01,2025-10-14 11:49:13.101,Sheet2
,2025-10-14 11:49:13.601,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,0,Froth Operator,FTESV01,2025-10-14 11:49:13.601,Sheet2
,2025-10-14 12:03:23.501,RCW_Distrib_250,250PIC4091,CHANGE,,,pida.op,13,Froth Operator,FTESV01,2025-10-14 12:03:23.501,Sheet2
,2025-10-14 12:03:27.001,RCW_Distrib_250,250PIC4091,CHANGE,,,pida.op,11,Froth Operator,FTESV01,2025-10-14 12:03:27.001,Sheet2
,2025-10-14 12:03:32.401,RCW_Distrib_250,250PIC4091,CHANGE,,,pida.op,9,Froth Operator,FTESV01,2025-10-14 12:03:32.401,Sheet2
,2025-10-14 12:03:42.401,RCW_Distrib_250,250PIC4091,CHANGE,,,pida.op,7,Froth Operator,FTESV01,2025-10-14 12:03:42.401,Sheet2
,2025-10-14 12:03:51.701,RCW_Distrib_250,250PIC4091,CHANGE,,,pida.op,5,Froth Operator,FTESV01,2025-10-14 12:03:51.701,Sheet2
,2025-10-14 12:13:41.301,RCW_Distrib_250,250PIC4091,CHANGE,,,pida.op,0,Froth Operator,FTESV01,2025-10-14 12:13:41.301,Sheet2
,2025-10-14 12:27:03.801,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,2,Froth Operator,FTESV01,2025-10-14 12:27:03.801,Sheet2
,2025-10-14 12:27:04.401,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,4,Froth Operator,FTESV01,2025-10-14 12:27:04.401,Sheet2
,2025-10-14 12:27:04.901,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,6,Froth Operator,FTESV01,2025-10-14 12:27:04.901,Sheet2
,2025-10-14 12:27:32.501,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,8,Froth Operator,FTESV01,2025-10-14 12:27:32.501,Sheet2
,2025-10-14 12:54:35.701,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,2,Froth Operator,FTESV01,2025-10-14 12:54:35.701,Sheet2
,2025-10-14 12:54:36.201,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,4,Froth Operator,FTESV01,2025-10-14 12:54:36.201,Sheet2
,2025-10-14 12:54:37.001,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,6,Froth Operator,FTESV01,2025-10-14 12:54:37.001,Sheet2
,2025-10-14 12:54:37.601,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,8,Froth Operator,FTESV01,2025-10-14 12:54:37.601,Sheet2
,2025-10-14 12:54:38.201,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,10,Froth Operator,FTESV01,2025-10-14 12:54:38.201,Sheet2
,2025-10-14 12:56:10.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,24,Froth Operator,FTESV01,2025-10-14 12:56:10.201,Sheet2
,2025-10-14 12:56:14.801,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,22,Froth Operator,FTESV01,2025-10-14 12:56:14.801,Sheet2
,2025-10-14 12:56:18.101,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,20,Froth Operator,FTESV01,2025-10-14 12:56:18.101,Sheet2
,2025-10-14 12:56:24.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,18,Froth Operator,FTESV01,2025-10-14 12:56:24.701,Sheet2
,2025-10-14 12:56:26.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,16,Froth Operator,FTESV01,2025-10-14 12:56:26.701,Sheet2
,2025-10-14 12:56:32.601,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,14,Froth Operator,FTESV01,2025-10-14 12:56:32.601,Sheet2
,2025-10-14 12:56:37.801,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,12,Froth Operator,FTESV01,2025-10-14 12:56:37.801,Sheet2
,2025-10-14 12:56:39.801,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,10,Froth Operator,FTESV01,2025-10-14 12:56:39.801,Sheet2
,2025-10-14 12:56:40.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,8,Froth Operator,FTESV01,2025-10-14 12:56:40.301,Sheet2
,2025-10-14 12:56:47.101,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,6,Froth Operator,FTESV01,2025-10-14 12:56:47.101,Sheet2
,2025-10-14 12:56:48.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,4,Froth Operator,FTESV01,2025-10-14 12:56:48.401,Sheet2
,2025-10-14 12:56:48.901,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,2,Froth Operator,FTESV01,2025-10-14 12:56:48.901,Sheet2
,2025-10-14 12:56:55.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,0,Froth Operator,FTESV01,2025-10-14 12:56:55.201,Sheet2
,2025-10-14 13:06:48.701,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,10,Froth Operator,FTESV01,2025-10-14 13:06:48.701,Sheet2
,2025-10-14 13:44:17.301,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,8,Froth Operator,FTESV01,2025-10-14 13:44:17.301,Sheet2
,2025-10-14 13:44:17.701,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,6,Froth Operator,FTESV01,2025-10-14 13:44:17.701,Sheet2
,2025-10-14 13:44:21.101,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,4,Froth Operator,FTESV01,2025-10-14 13:44:21.101,Sheet2
,2025-10-14 13:44:21.501,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,2,Froth Operator,FTESV01,2025-10-14 13:44:21.501,Sheet2
,2025-10-14 13:44:22.201,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,0,Froth Operator,FTESV01,2025-10-14 13:44:22.201,Sheet2
,2025-10-14 14:20:39.001,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,2,Froth Operator,FTESV01,2025-10-14 14:20:39.001,Sheet2
,2025-10-14 14:20:40.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,4,Froth Operator,FTESV01,2025-10-14 14:20:40.501,Sheet2
,2025-10-14 14:20:42.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,6,Froth Operator,FTESV01,2025-10-14 14:20:42.201,Sheet2
,2025-10-14 14:20:43.801,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,8,Froth Operator,FTESV01,2025-10-14 14:20:43.801,Sheet2
,2025-10-14 14:20:45.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,10,Froth Operator,FTESV01,2025-10-14 14:20:45.301,Sheet2
,2025-10-14 14:22:25.600,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,12,Froth Operator,FTESV01,2025-10-14 14:22:25.600,Sheet2
,2025-10-14 14:22:26.901,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,14,Froth Operator,FTESV01,2025-10-14 14:22:26.901,Sheet2
,2025-10-14 14:22:28.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,16,Froth Operator,FTESV01,2025-10-14 14:22:28.201,Sheet2
,2025-10-14 14:22:29.901,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,18,Froth Operator,FTESV01,2025-10-14 14:22:29.901,Sheet2
,2025-10-14 14:22:31.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,20,Froth Operator,FTESV01,2025-10-14 14:22:31.201,Sheet2
,2025-10-14 14:22:45.801,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,22,Froth Operator,FTESV01,2025-10-14 14:22:45.801,Sheet2
,2025-10-14 14:22:47.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,24,Froth Operator,FTESV01,2025-10-14 14:22:47.501,Sheet2
,2025-10-14 14:22:51.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,26,Froth Operator,FTESV01,2025-10-14 14:22:51.401,Sheet2
,2025-10-14 14:24:04.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,28,Froth Operator,FTESV01,2025-10-14 14:24:04.701,Sheet2
,2025-10-14 14:27:03.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,30,Froth Operator,FTESV01,2025-10-14 14:27:03.501,Sheet2
,2025-10-14 14:29:43.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,30.5,Froth Operator,FTESV01,2025-10-14 14:29:43.701,Sheet2
,2025-10-14 14:29:44.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,31,Froth Operator,FTESV01,2025-10-14 14:29:44.301,Sheet2
,2025-10-14 14:29:48.101,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,31.5,Froth Operator,FTESV01,2025-10-14 14:29:48.101,Sheet2
,2025-10-14 14:29:48.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,32,Froth Operator,FTESV01,2025-10-14 14:29:48.501,Sheet2
,2025-10-14 14:30:28.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,34,Froth Operator,FTESV01,2025-10-14 14:30:28.701,Sheet2
,2025-10-14 14:30:55.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,36,Froth Operator,FTESV01,2025-10-14 14:30:55.401,Sheet2
,2025-10-14 14:31:13.500,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,38,Froth Operator,FTESV01,2025-10-14 14:31:13.500,Sheet2
,2025-10-14 14:31:25.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,36,Froth Operator,FTESV01,2025-10-14 14:31:25.301,Sheet2
,2025-10-14 14:31:31.901,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,34,Froth Operator,FTESV01,2025-10-14 14:31:31.901,Sheet2
,2025-10-14 14:31:38.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,32,Froth Operator,FTESV01,2025-10-14 14:31:38.401,Sheet2
,2025-10-14 14:31:40.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,30,Froth Operator,FTESV01,2025-10-14 14:31:40.701,Sheet2
,2025-10-14 14:32:12.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,28,Froth Operator,FTESV01,2025-10-14 14:32:12.301,Sheet2
,2025-10-14 14:32:12.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,26,Froth Operator,FTESV01,2025-10-14 14:32:12.401,Sheet2
,2025-10-14 14:32:14.101,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,28,Froth Operator,FTESV01,2025-10-14 14:32:14.101,Sheet2
,2025-10-14 14:32:50.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,30,Froth Operator,FTESV01,2025-10-14 14:32:50.401,Sheet2
,2025-10-14 14:33:27.700,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,32,Froth Operator,FTESV01,2025-10-14 14:33:27.700,Sheet2
